"v_spot_index","alsfc_ctprvn_nm","alsfc_signgu_nm","alsfc_nm","alsfc_rprsntv_tel_no","alsfc_addr","alsfc_detail_addr","alsfc_main_item_nm","alsfc_lo","alsfc_la"
699,서울,서대문구,매직짐,"02-379-8815",서울특별시 서대문구 통일로 484,유진상가2층 매직짐(홍제동),헬스,"126.9429917","37.5915888"
700,서울,마포구,성미산체육관,"02-324-9875",서울특별시 마포구 월드컵북로15길 31-11,성미산체육관(성산동),배드민턴,"126.9121109","37.5623401"
701,서울,서대문구,동삼체육관,"02-309-3726",서울특별시 서대문구 명지대길 41,"2층(남가좌동)",태권도,"126.9240986","37.5820049"
702,서울,서대문구,스타칼리,"02-379-6399",서울특별시 서대문구 통일로 472,"1~5층(홍제동)",헬스,"126.9427451","37.5905027"
703,서울,은평구,용인대 청솔 태권도,"02-303-2792",서울특별시 은평구 응암로22길 28-6,"5층 용인대 청솔 태권도(응암동)",태권도,"126.9210758","37.5932885"
704,서울,은평구,크로스 복싱 클럽,"02-307-7982",서울특별시 은평구 은평로 46,크로스 복싱클럽 5층(신사동),복싱,"126.9131123","37.5983117"
705,서울,서대문구,피트니스더블유,"02-303-9755",서울특별시 서대문구 증가로 133,"3층(남가좌동)",헬스,"126.9226282","37.5773206"
706,서울,금천구,이20pt,"",서울특별시 금천구 벚꽃로 30,"상가 2층 220호(독산동, 금천 롯데캐슬 골드파크 2차)",헬스,"126.8940287","37.4585128"
707,서울,금천구,워크어게인 재활헬스케어센터,"",서울특별시 금천구 범안로 1130,디지털엠파이어 203호(가산동),헬스,"126.8876739","37.4655207"
708,서울,노원구,N점핑다이어트클럽,"",서울특별시 노원구 한글비석로 415,"3층  N점핑다이어트클럽(상계동)",헬스,"127.0705175","37.6614446"
709,서울,노원구,OB탁구회관,"02-931-7070",서울시 노원구 동일로 1370,현대프라자 지하 1층,탁구,"127.0618793","37.6509222"
710,서울,금천구,팩토리짐독산점,"02-2098-9679",서울특별시 금천구 두산로 70,A동 T-B201호(독산동),헬스,"126.8956207","37.4689627"
711,서울,금천구,아이펀,"",서울특별시 금천구 벚꽃로 30,"417(독산동, 금천 롯데캐슬 골드파크 2차)",태권도,"126.8940287","37.4585128"
712,서울,금천구,밸런스 필라테스,"",서울특별시 금천구 시흥대로 291,"310동 216호 밸런스필라테스(독산동, 금천롯데캐슬골드파크3차)",필라테스,"126.8972935","37.4599811"
713,서울,금천구,금천장애인종합복지관,"02-6912-8000",서울특별시 금천구 시흥대로101길 17,금천장애인종합복지관(독산동),기타종목,"126.8963477","37.4639858"
